"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
50,"6","Safe","2024-02-23T11:06:11.571851Z",43815,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame10350.jpg",58.173,"2024-02-23T11:06:11.571879Z"
51,"6","Safe","2024-02-23T11:06:20.374287Z",43816,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame10800.jpg",8.47,"2024-02-23T11:06:20.374313Z"
52,"6","Unsafe","2024-02-23T11:06:25.569106Z",43817,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame11100.jpg",4.909,"2024-02-23T11:06:25.569130Z"
53,"6","Unsafe","2024-02-23T11:06:30.205162Z",43818,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame11700.jpg",4.26,"2024-02-23T11:06:30.205190Z"
54,"6","Unsafe","2024-02-23T11:06:35.941712Z",43819,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame11850.jpg",5.365,"2024-02-23T11:06:35.941739Z"
55,"6","Very safe","2024-02-23T11:06:40.233526Z",43820,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame1200.jpg",3.919,"2024-02-23T11:06:40.233552Z"
56,"6","Unsafe","2024-02-23T11:06:44.236402Z",43821,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame12150.jpg",3.654,"2024-02-23T11:06:44.236426Z"
57,"6","Very safe","2024-02-23T11:06:50.398402Z",43822,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame12750.jpg",5.769,"2024-02-23T11:06:50.398436Z"
58,"6","Safe","2024-02-23T11:06:54.831267Z",43823,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame13500.jpg",3.998,"2024-02-23T11:06:54.831294Z"
59,"6","Very safe","2024-02-23T11:06:59.707292Z",43824,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame14250.jpg",4.538,"2024-02-23T11:06:59.707320Z"
